date,code,open,high,low,close,volume,foreign_net,prop_net,dealer_net,total_net
20260326,3023,256.5,256.5,247.0,247.0,3410602.0,-386197.0,-2102.0,-50985.0,-439284.0
20260326,3024,10.25,10.25,10.1,10.15,454026.0,83000.0,0.0,0.0,83000.0
20260326,3025,61.6,62.9,60.0,60.0,441054.0,-32000.0,-1000.0,-471.0,-33471.0
20260326,3026,146.5,146.5,146.5,146.5,3115260.0,-154300.0,-90.0,57060.0,-97330.0
20260326,3028,55.0,55.7,53.6,53.8,3079594.0,530248.0,0.0,-9314.0,520934.0
20260326,3029,99.2,99.8,94.6,95.5,1846141.0,-7389.0,0.0,-99732.0,-107121.0
20260326,3030,255.5,260.5,247.5,253.0,3756549.0,-419030.0,-3035.0,57616.0,-364449.0
20260326,3031,24.55,24.85,23.35,23.8,6233552.0,159000.0,0.0,7973.0,166973.0
20260326,3032,66.0,66.4,64.9,65.4,278100.0,-27000.0,0.0,92.0,-26908.0
20260326,3033,33.7,33.7,32.9,33.1,4034187.0,692000.0,-4230.0,104197.0,791967.0
20260326,3034,377.0,398.0,376.0,392.0,6972233.0,3232592.0,-11114.0,73812.0,3295290.0
20260326,3035,151.5,155.5,151.0,151.0,2089856.0,351000.0,-82.0,17968.0,368886.0
20260326,3036,236.0,237.0,226.0,227.0,9255783.0,976478.0,1386941.0,4976.0,2368395.0
20260326,3037,510.0,538.0,500.0,502.0,7764979.0,832364.0,-491923.0,202765.0,543206.0
20260326,3041,23.6,24.1,23.0,23.0,603088.0,-96000.0,0.0,0.0,-96000.0
20260326,3042,92.1,92.1,90.0,90.1,1012899.0,-288001.0,-126.0,-104823.0,-392950.0
20260326,3044,359.0,368.0,356.0,356.0,1943253.0,-385490.0,34996.0,-4751.0,-355245.0
20260326,3045,109.5,109.5,109.0,109.0,3427403.0,1090462.0,-22527.0,42463.0,1110398.0
20260326,3047,16.4,17.25,16.2,16.2,2207360.0,-326000.0,0.0,1000.0,-325000.0
20260326,3048,38.5,38.9,37.1,37.1,2319033.0,-276891.0,-35.0,-29863.0,-306789.0
20260326,3049,11.850000381469728,14.399999618530272,11.850000381469728,13.850000381469728,51409196.0,-3061101.0,0.0,-53630.0,-3114731.0
20260326,3050,14.05,14.25,13.85,13.95,1682003.0,170000.0,0.0,1000.0,171000.0
20260326,3051,21.0,21.0,20.25,20.3,379058.0,-34950.0,0.0,0.0,-34950.0
20260326,3058,9.74,10.65,9.7,10.4,3671818.0,759000.0,0.0,4531.0,763531.0
20260326,3059,37.5,37.9,36.75,36.75,1483346.0,4000.0,-37.0,4875.0,8838.0
20260326,3060,32.55,34.0,31.9,32.05,4197699.0,-109000.0,0.0,443.0,-108557.0
20260326,3062,27.0,27.1,25.35,25.45,15431023.0,-2446130.0,-35.0,-35461.0,-2481626.0
20260326,3090,94.5,95.3,92.5,92.5,1326752.0,-213000.0,-3181.0,1895.0,-214286.0
20260326,3092,30.35,31.2,30.1,30.1,557984.0,50000.0,0.0,900.0,50900.0
20260326,3135,124.5,126.5,113.5,113.5,10657910.0,23500.0,0.0,-25000.0,-1500.0
20260326,3138,178.5,193.0,177.5,177.5,6436206.0,60867.0,0.0,-551.0,60316.0
20260326,3149,44.05,48.5,43.95,46.6,11510734.0,-54019.0,0.0,8975.0,-45044.0
20260326,3189,352.0,370.0,351.5,351.5,6530915.0,1138548.0,-276187.0,123559.0,985920.0
20260326,3209,43.5,44.25,43.2,43.85,2300504.0,471000.0,-2960.0,-2000.0,466040.0
20260326,3231,128.5,129.0,127.0,127.0,23614650.0,-50894.0,-697962.0,1169284.0,420428.0
20260326,3305,104.0,110.0,103.0,103.0,3423440.0,261000.0,0.0,129558.0,390558.0
20260326,3312,36.25,36.4,35.15,35.15,551110.0,165000.0,0.0,1000.0,166000.0
20260326,3324,1045.0,1070.0,985.0,985.0,8317660.0,,,,
20260326,3338,62.3,63.9,60.5,60.6,825124.0,-152001.0,0.0,1226.0,-150775.0
20260326,3356,50.0,51.2,50.0,50.0,299890.0,22002.0,0.0,95.0,22097.0
20260326,3376,221.5,221.5,209.5,210.0,4628047.0,-386000.0,-102.0,7744.0,-378358.0
20260326,3380,36.85,38.25,36.25,36.25,13348910.0,-1517000.0,0.0,40128.0,-1476872.0
20260326,3406,471.5,472.5,452.0,452.0,760434.0,-156587.0,-49.0,-12765.0,-169401.0
20260326,3413,326.0,326.0,307.0,311.5,3432450.0,-818950.0,-1037.0,-53403.0,-873390.0
20260326,3437,23.05,23.45,21.5,21.7,1078641.0,66015.0,0.0,20991.0,87006.0
20260326,3443,2490.0,2570.0,2455.0,2540.0,2629806.0,377142.0,-318859.0,78926.0,137209.0
20260326,3450,282.0,302.5,278.0,279.0,22048136.0,2705625.0,-265177.0,158680.0,2599128.0
20260326,3481,26.0,26.549999237060547,25.0,25.0,247786001.0,-39444918.0,-173475.0,-3568994.0,-43187387.0
20260326,3504,58.3,59.1,55.4,55.5,310209.0,-141000.0,0.0,1000.0,-140000.0
20260326,3515,220.0,221.5,214.0,214.5,725160.0,-121000.0,-1055.0,1703.0,-120352.0
20260326,3532,138.5,146.0,138.5,146.0,3768322.0,383500.0,-137.0,143633.0,526996.0
20260326,3533,2220.0,2295.0,2195.0,2270.0,2636577.0,-133070.0,747956.0,-47930.0,566956.0
20260326,3535,121.5,123.0,116.5,116.5,2073958.0,-258849.0,0.0,-29273.0,-288122.0
20260326,3543,51.3,51.8,48.7,48.7,2034001.0,-920727.0,0.0,-6005.0,-926732.0
