code,name,avg_volume
5269,祥碩,952
2428,興勤,946
2461,光群雷,940
6414,樺漢,926
3694,海華,925
2258,鴻華先進-創,918
4961,天鈺,910
2206,三陽工業,904
2466,冠西電,902
5222,全訊,887
3025,星通,878
6526,達發,868
3041,揚智,858
3712,永崴投控,855
3008,大立光,852
6862,三集瑞-KY,849
8213,志超,843
2233,宇隆,835
3011,今皓,821
2460,建通,816
2465,麗臺,814
7795,長廣,794
3014,聯陽,791
7822,倍利科,787
5434,崇越,781
3024,憶聲,776
8249,菱光,761
6834,天二科技,755
6189,豐藝,740
2390,云辰,740
8163,達方,734
6409,旭隼,722
2417,圓剛,719
6235,華孚,713
3032,偉訓,704
1563,巧新,688
7711,永擎,687
3504,揚明光,684
2302,麗正,681
6449,鈺邦,679
3051,力特,678
6214,精誠,676
6691,洋基工程,671
2427,三商電,669
5484,慧友,647
6533,晶心科,646
6142,友勁,633
2380,虹光,623
8016,矽創,615
2059,川湖,600
3515,華擎,592
2497,怡利電,580
6166,凌華,576
2314,台揚,573
3686,達能,545
2453,凌群,537
6108,競國,537
5258,虹堡,524
2852,第一保,524
1587,吉茂,516
3356,奇偶,505
4551,智伸科,504
6024,群益期,503
2362,藍天,501
00713,元大台灣高息低波,0
3324,雙鴻,0
00878,國泰永續高股息,0
00981A,主動台股增長,0
