code,price,signals,signal_count,RSI,Williams,total_net,foreign_net,recommendation
6477,33.75,MACD,1,58.1,-64.2,0,0,skip
6155,43.0,Williams,1,52.0,-85.5,0,0,skip
5876,39.8,MACD,1,56.4,-22.2,0,0,skip
6153,18.55,MACD,1,63.6,-53.3,0,0,skip
6142,9.03,CCI,1,41.2,-79.2,0,0,skip
6770,52.9,MACD,1,58.5,-50.0,-36000,25121800,skip
6805,1915.0,MACD,1,52.2,-44.6,0,0,skip
6831,490.0,MACD,1,69.3,-38.1,0,0,skip
6854,169.5,MACD,1,66.9,-45.5,0,0,skip
6269,66.2,MACD,1,64.8,-51.5,0,0,skip
6937,293.5,MACD,1,66.7,-57.0,0,0,skip
7795,390.5,MACD,1,68.3,-52.2,0,0,skip
6005,28.25,MACD,1,55.0,-55.3,0,0,skip
6239,210.0,MACD,1,54.9,-59.1,0,0,skip
3048,37.5,MACD,1,62.6,-53.5,0,0,skip
4956,45.55,MACD,1,67.2,-54.9,0,0,skip
2367,57.4,Foreign_buy,1,42.7,-50.0,-316000,40371279,skip
2375,79.2,MACD,1,61.9,-72.0,0,0,skip
2377,95.1,MACD,1,68.7,-58.9,0,0,skip
2379,539.0,MACD,1,68.9,-42.6,0,0,skip
2380,5.1,CCI,1,44.4,-56.2,0,0,skip
2382,323.0,MACD,1,67.7,-36.1,0,0,skip
2385,125.0,MACD,1,62.5,-50.0,0,0,skip
2387,41.7,MACD,1,65.9,-22.8,0,0,skip
2390,9.94,CCI,1,43.7,-76.7,0,0,skip
2392,36.4,MACD,1,58.8,-56.7,0,0,skip
2399,43.65,MACD,1,67.4,-14.0,0,0,skip
2409,17.2,Foreign_buy,1,59.8,-50.0,-32891,54386589,skip
2412,135.5,MACD,1,60.0,-50.0,0,0,skip
2439,86.7,MACD,1,58.9,-65.1,0,0,skip
2444,13.7,MACD,1,68.4,-39.6,0,0,skip
2449,286.0,MACD,1,64.5,-50.0,-5100002,16061487,skip
2451,252.5,MACD,1,60.8,-56.2,0,0,skip
2453,53.2,MACD,1,55.9,-74.4,0,0,skip
2457,24.25,MACD,1,52.9,-77.4,0,0,skip
2458,136.5,MACD,1,69.7,-36.2,0,0,skip
2461,17.4,CCI,1,43.2,-72.0,0,0,skip
2468,34.05,MACD,1,53.0,-68.7,0,0,skip
2374,71.3,MACD,1,65.8,-62.6,0,0,skip
2363,55.0,MACD,1,68.6,-40.6,0,0,skip
2481,100.0,MACD,1,59.7,-50.0,-15000,5448466,skip
